StateCode,CountyCode,TractCode,MSA,CensusYear,Minority_Population,Non_hispanic_other,Non_hispanic_asian,Non_hispanic_white,Non_hispanic_american_indian,Non_hispanic_black,Hispanics,Population,Minority_percentage,Family_count,Household_count,DistressedTractInd,Income_Indicator,Poverty_level_percentage,MSA_MFI_pct,Decennial_Trace_MHI,Decennial_MSA_MFI,HUD_est_MSA_MFI,Est_Income,sDecennial_Tract_MFI,Median_unit_age,Total_housing_units,Num_1_to_4_units,Own_occ_1_to_4_units,Owner_occupied_units,Renter_occupied_units,Units_vacant,Central_City_Flag
19,163,0129.02,19340,2015,561,90,71,4454,13,212,175,5015,11.19,1278,2161,No,Upper,7.53,173.31,74238,61723,69000,119584,106974,30,2315,1536,1449,1459,702,154,1
55,055,1007.00,99999,2015,396,56,36,4234,13,34,257,4630,8.55,1211,1584,No,Upper,10.42,132.43,62381,57005,61500,81444,75496,32,1669,1504,1236,1245,339,85,0
55,071,0107.00,99999,2015,146,31,24,3719,15,14,62,3865,3.78,1072,1671,No,Middle,11.79,113.80,52022,57005,61500,69987,64875,46,1700,1589,1230,1230,441,29,0
55,133,2008.01,33340,2015,364,47,203,4750,6,34,74,5114,7.12,1470,1731,No,Upper,0.41,172.66,110475,68787,73300,126560,118773,29,1750,1741,1683,1683,48,19,0
55,133,2005.00,33340,2015,736,61,364,4931,10,207,94,5667,12.99,1580,1932,No,Upper,1.03,159.36,99292,68787,73300,116811,109625,18,1979,1966,1855,1868,64,47,0
55,133,2002.01,33340,2015,204,23,77,3391,8,59,37,3595,5.67,889,1742,No,Upper,5.70,134.90,50189,68787,73300,98882,92798,20,1855,956,800,837,905,113,0
55,133,2004.00,33340,2015,925,87,316,5657,18,370,134,6582,14.05,1896,2308,No,Upper,2.62,161.76,98968,68787,73300,118570,111273,19,2336,2170,2106,2113,195,28,1
55,133,2041.00,33340,2015,276,60,45,4756,12,37,122,5032,5.48,1549,1886,No,Upper,1.14,156.74,100427,68787,73300,114890,107820,33,2153,2114,1639,1639,247,267,0
55,055,1008.00,99999,2015,128,28,8,3878,10,13,69,4006,3.20,1221,1577,No,Upper,6.38,129.67,64196,57005,61500,79747,73924,37,1611,1540,1248,1248,329,34,0
55,117,0111.00,43100,2015,630,22,19,3541,44,511,34,4171,15.10,872,1159,No,Middle,5.49,113.89,68894,65301,69300,78926,74375,38,1237,1237,1023,1023,136,78,0
